DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2025,EQ,2077.0,2102.8,2071.6,2081.6,2099.4,2099.8,2098.35,2174.5,1559.5,6983390,14653574322.6,173712
29-Dec-2025,EQ,2105.4,2112.7,2079.4,2105.4,2081.4,2081.6,2089.02,2174.5,1559.5,2371034,4953136389.4,129894
26-Dec-2025,EQ,2123.0,2123.0,2101.8,2123.7,2106.0,2105.4,2108.17,2174.5,1559.5,1297870,2736129285.2,82211
24-Dec-2025,EQ,2111.0,2137.2,2111.0,2122.9,2123.5,2123.7,2127.5,2174.5,1559.5,3145464,6691975445.4,98425
23-Dec-2025,EQ,2157.0,2164.0,2119.2,2147.6,2123.0,2122.9,2128.23,2174.5,1559.5,4110853,8748834353.8,154127
22-Dec-2025,EQ,2118.0,2151.7,2101.7,2097.7,2141.5,2147.6,2137.59,2174.5,1559.5,7670853,16397170359.7,236708
19-Dec-2025,EQ,2113.9,2115.0,2082.0,2092.0,2090.9,2097.7,2095.28,2174.5,1559.5,10127415,21219798389.7,644521
18-Dec-2025,EQ,2099.0,2116.6,2088.1,2108.0,2098.3,2092.0,2100.49,2174.5,1559.5,3760341,7898569012.9,177440
17-Dec-2025,EQ,2117.6,2128.0,2096.4,2102.0,2109.0,2108.0,2106.48,2174.5,1559.5,6412516,13507842168.0,176177
16-Dec-2025,EQ,2070.1,2106.6,2070.1,2069.7,2104.9,2102.0,2097.67,2174.5,1559.5,5756692,12075653201.7,214465
15-Dec-2025,EQ,2070.1,2078.9,2061.5,2083.4,2072.0,2069.7,2071.22,2174.5,1559.5,3233614,6697521715.6,176973
12-Dec-2025,EQ,2053.1,2087.1,2050.6,2053.2,2082.1,2083.4,2074.23,2174.5,1559.5,2706420,5613747141.9,100209
11-Dec-2025,EQ,2066.0,2069.2,2038.0,2067.0,2054.0,2053.2,2051.1,2174.5,1559.5,3254850,6676036622.2,127700
10-Dec-2025,EQ,2072.0,2096.9,2062.2,2089.7,2063.0,2067.0,2076.41,2174.5,1559.5,3987451,8279599352.9,123385
09-Dec-2025,EQ,2086.8,2100.4,2080.4,2086.2,2087.1,2089.7,2088.41,2174.5,1559.5,5139229,10732805998.5,160953
08-Dec-2025,EQ,2114.4,2114.4,2078.9,2108.8,2087.0,2086.2,2090.51,2174.5,1559.5,4327091,9045832820.7,172189
05-Dec-2025,EQ,2092.6,2111.9,2090.0,2103.8,2109.8,2108.8,2101.34,2174.5,1559.5,2938290,6174337765.0,109731
