DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
26-Dec-25,EQ,"2,123.00","2,123.00","2,101.80","2,123.70","2,106.00","2,105.40","2,108.17","2,174.50","1,559.50",1297870,"2,73,61,29,285.20",82211
24-Dec-25,EQ,"2,111.00","2,137.20","2,111.00","2,122.90","2,123.50","2,123.70","2,127.50","2,174.50","1,559.50",3145464,"6,69,19,75,445.40",98425
23-Dec-25,EQ,"2,157.00","2,164.00","2,119.20","2,147.60","2,123.00","2,122.90","2,128.23","2,174.50","1,559.50",4110853,"8,74,88,34,353.80",154127
22-Dec-25,EQ,"2,118.00","2,151.70","2,101.70","2,097.70","2,141.50","2,147.60","2,137.59","2,174.50","1,559.50",7670853,"16,39,71,70,359.70",236708
19-Dec-25,EQ,"2,113.90","2,115.00","2,082.00","2,092.00","2,090.90","2,097.70","2,095.28","2,174.50","1,559.50",10127415,"21,21,97,98,389.70",644521
18-Dec-25,EQ,"2,099.00","2,116.60","2,088.10","2,108.00","2,098.30","2,092.00","2,100.49","2,174.50","1,559.50",3760341,"7,89,85,69,012.90",177440
17-Dec-25,EQ,"2,117.60","2,128.00","2,096.40","2,102.00","2,109.00","2,108.00","2,106.48","2,174.50","1,559.50",6412516,"13,50,78,42,168.00",176177
16-Dec-25,EQ,"2,070.10","2,106.60","2,070.10","2,069.70","2,104.90","2,102.00","2,097.67","2,174.50","1,559.50",5756692,"12,07,56,53,201.70",214465
15-Dec-25,EQ,"2,070.10","2,078.90","2,061.50","2,083.40","2,072.00","2,069.70","2,071.22","2,174.50","1,559.50",3233614,"6,69,75,21,715.60",176973
12-Dec-25,EQ,"2,053.10","2,087.10","2,050.60","2,053.20","2,082.10","2,083.40","2,074.23","2,174.50","1,559.50",2706420,"5,61,37,47,141.90",100209
11-Dec-25,EQ,"2,066.00","2,069.20","2,038.00","2,067.00","2,054.00","2,053.20","2,051.10","2,174.50","1,559.50",3254850,"6,67,60,36,622.20",127700
10-Dec-25,EQ,"2,072.00","2,096.90","2,062.20","2,089.70","2,063.00","2,067.00","2,076.41","2,174.50","1,559.50",3987451,"8,27,95,99,352.90",123385
09-Dec-25,EQ,"2,086.80","2,100.40","2,080.40","2,086.20","2,087.10","2,089.70","2,088.41","2,174.50","1,559.50",5139229,"10,73,28,05,998.50",160953
08-Dec-25,EQ,"2,114.40","2,114.40","2,078.90","2,108.80","2,087.00","2,086.20","2,090.51","2,174.50","1,559.50",4327091,"9,04,58,32,820.70",172189
05-Dec-25,EQ,"2,092.60","2,111.90","2,090.00","2,103.80","2,109.80","2,108.80","2,101.34","2,174.50","1,559.50",2938290,"6,17,43,37,765.00",109731
04-Dec-25,EQ,"2,094.80","2,108.50","2,074.10","2,086.00","2,103.00","2,103.80","2,090.47","2,174.50","1,559.50",4611819,"9,64,08,66,601.10",168962
03-Dec-25,EQ,"2,100.10","2,109.90","2,081.60","2,104.00","2,087.00","2,086.00","2,088.46","2,174.50","1,559.50",4357641,"9,10,07,69,632.80",206107
02-Dec-25,EQ,"2,089.80","2,114.80","2,087.10","2,089.70","2,107.80","2,104.00","2,102.82","2,174.50","1,559.50",6591396,"13,86,05,29,208.80",266344
01-Dec-25,EQ,"2,114.70","2,119.00","2,083.10","2,101.60","2,090.50","2,089.70","2,095.86","2,174.50","1,559.50",5058900,"10,60,27,49,697.70",232889
28-Nov-25,EQ,"2,118.00","2,129.50","2,096.40","2,115.60","2,100.00","2,101.60","2,105.61","2,174.50","1,551.15",6263457,"13,18,83,76,119.00",150812
27-Nov-25,EQ,"2,132.00","2,136.90","2,103.80","2,126.80","2,118.00","2,115.60","2,116.63","2,174.50","1,551.15",4444877,"9,40,81,57,935.70",154239
26-Nov-25,EQ,"2,104.00","2,134.90","2,097.50","2,161.60","2,127.00","2,126.80","2,102.43","2,174.50","1,551.15",43174047,"90,77,05,24,452.10",217044
25-Nov-25,EQ,"2,159.00","2,170.70","2,138.70","2,152.10","2,156.60","2,161.60","2,159.81","2,174.50","1,551.15",7102592,"15,34,02,16,596.70",172471
24-Nov-25,EQ,"2,162.10","2,165.80","2,140.40","2,162.70","2,145.00","2,152.10","2,154.46","2,174.50","1,551.15",9686848,"20,86,98,87,058.20",140722
21-Nov-25,EQ,"2,150.10","2,174.50","2,148.60","2,158.30","2,165.00","2,162.70","2,162.63","2,174.50","1,511.00",6720938,"14,53,49,05,632.60",141397
20-Nov-25,EQ,"2,153.10","2,169.30","2,149.90","2,159.80","2,160.00","2,158.30","2,158.31","2,169.30","1,511.00",7452899,"16,08,56,71,565.60",151163
